"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121955049","125453912","128833304","132149830","135661404","139569754","143565774","147476713","151611921","156051286","160695350","165572958","170702670","175975304","181329835","186818651","192002021","197191052","202509853","207294185","212274210","218081893","224270791","231255256","238203331","246038744","253584828","261328490","269106599","277366044","278159718","289391094",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2641964","2645619","2957392","3420015","3754691","3965312","4105092","4242705","4385878","4546322","4594699","4618603","4924226","5315286","5541238","5787757","6071864","6119540","6214595","6509255","6743046","7098230","7520865","7881567","8285362","8630723","8913938","9254594","9613728","9991682","9105733","",
"Africa Western and Central","AFW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74675274","76721304","78899620","81112530","83327050","85660669","88103425","90583094","93167814","95721029","98299870","100980224","103715522","106537793","109484603","112420393","115422588","118446669","121331635","124267640","127238580","130557969","131273550","131843021","134957702","138543056","142343598","146308854","150497179","154859306","156461466","161849621",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4889409","5044501","5202054","5360710","5527396","5710800","5910932","6121075","6337218","6557385","6786985","7031079","7285806","7554548","7838390","8133535","8442257","8762915","9093722","9435749","9793697","10176620","10567776","10968484","11377486","11795033","12232879","12689062","13153405","13629799","13979133","14470377",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1374478","1429833","1438342","1413557","1391914","1363163","1343448","1360590","1344921","1325723","1317402","1304704","1308103","1294847","1281167","1266464","1249959","1231498","1212147","1258916","1270655","1388801","1328695","1227940","1256110","1308343","1354998","1377319","1409389","1433004","1347461","1384740",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61329175","63016663","65235360","67761584","70366416","72277812","74327891","76464331","78532600","81652331","83631631","85205921","86484893","89403705","92358733","95651502","99533153","103621076","107134220","110540970","114857264","117116067","120101582","123275167","125370879","127571108","130400426","131639718","133562389","136559891","135702810","138441256",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","971329","1042316","1115373","1192906","1269031","1347349","1436159","1535114","1644809","1763485","1889779","2023460","2163031","2307664","2457500","2671414","3097126","3769133","4557619","5298911","5685095","5782838","5879032","5973682","6066398","6155854","6244155","6328526","6404956","6479503","6491560","6462165",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13417468","13851438","14265144","14693482","15067576","15197489","15564039","16000379","16317383","16415837","16591905","16648514","16474698","16943192","17425150","17545905","17877291","17924078","17966575","18324356","18255866","18663922","18835226","18964106","19049721","19229475","19404277","19580710","20103008","20607477","19406591","21191985",
"Armenia","ARM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1621642","1645616","1614811","1547325","1500851","1475016","1465943","1457430","1450951","1446059","1441026","1435730","1430826","1427991","1427518","1429115","1432679","1438080","1437981","1459017","1459819","1455297","1447228","1441157","1433898","1426241","1418505","1406989","1395196","1411206","1385587","1386828",
"American Samoa","ASM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8482919","8521706","8589431","8619628","8780806","8978386","9101630","9160933","9253911","9338857","9523255","9692915","9837966","10013838","10126070","10426942","10650659","10937240","11228764","11471850","11661196","11842238","12006302","12176891","12316359","12554514","12728417","13006679","13308365","13590353","13590200","13807641",
"Austria","AUT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3511975","3569407","3652067","3684501","3851283","3881434","3851512","3835998","3875146","3900723","3899807","3895879","3971245","4014294","3919678","4046427","4114656","4201262","4243342","4285255","4302610","4332472","4379686","4423190","4444847","4497039","4579306","4608584","4642407","4662739","4638300","4689420",
"Azerbaijan","AZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3353958","3405558","3545509","3708187","3870976","4002559","4072813","4127968","4171337","4227769","4268500","4236119","4204886","4180410","4114099","4115696","4093836","3998065","4044161","4143977","4195695","4275302","4359293","4428280","4531372","4626699","4756797","4841518","4925539","4964822","5165410","5140940",
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2546372","2568641","2622016","2410298","2394789","2628505","2575028","2527375","2574722","2652842","2711922","2789039","2877511","2979746","3109670","3235530","3353085","3475186","3624218","3823894","3999715","4113261","4228184","4347855","4460708","4525904","4553883","4644148","4803010","4990347","5110212","5332664",
"Belgium","BEL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3945699","4035746","4081207","4106266","4171786","4202026","4205314","4229113","4269462","4371569","4416525","4315763","4365043","4402418","4485839","4626679","4646803","4728844","4777353","4797214","4893955","4876780","4910968","4962050","4978926","4989597","4997187","5086330","5144068","5194405","5167188","5262812",
"Benin","BEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015405","2076803","2140165","2255088","2345579","2375000","2429876","2502067","2582840","2667735","2755776","2846533","2939918","3038386","3139548","3251640","3361334","3464881","3577586","3697926","3822693","3947757","4004243","4056023","4105299","4152214","4195476","4235801","4273806","4403417","4496470","4647780",
"Burkina Faso","BFA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4070828","4162241","4222905","4290284","4364455","4443793","4522973","4604246","4701427","4814344","4933796","5059121","5187760","5316273","5443471","5567467","5683357","5790842","5886292","5978737","6071773","6168443","6272750","6376479","6481181","6683144","6896061","7116801","7340573","7569473","7743848","8074705",
"Bangladesh","BGD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35655781","36649013","37679443","38782427","39939213","41130071","42245106","43410982","44642517","45916479","47201078","48437538","49645747","50817188","51973925","53084730","53950191","54599226","55151452","55755783","56625230","57602724","58662412","59781775","60904128","62009867","63166278","67164740","68748317","70248866","70940009","72549159",
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3926494","3930509","3931230","3863462","3813982","3760700","3703303","3642463","3580044","3519675","3459130","3488558","3393905","3322992","3353786","3282858","3369624","3432706","3486533","3409927","3405748","3323514","3335298","3363140","3357878","3333481","3265483","3364252","3338430","3391873","3311854","3268751",
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224600","231507","239840","248928","258713","269157","280317","292255","304884","318052","331668","345676","360155","381538","417214","461674","508671","558291","610442","664657","692760","685093","699050","722754","742612","768564","802049","837284","860932","864850","831368","827146",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132538","136814","141084","145240","149259","152813","156386","160208","163093","167376","171113","174752","178110","181007","184131","187592","191079","194476","197481","200181","203925","207965","211887","214987","218478","221810","225296","228902","232374","235408","226709","233151",
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1558150","1563261","1463163","1314974","1233074","1224112","1291861","1352711","1387057","1411271","1430136","1446102","1467568","1479854","1479078","1474492","1474993","1482648","1490660","1463957","1464250","1428367","1416274","1386578","1400680","1385813","1365760","1351075","1330417","1344543","1321242","1387825",
"Belarus","BLR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4653509","4644143","4659164","4676652","4700525","4725255","4721328","4705649","4711156","4735445","4792992","4840761","4874607","4897258","4914756","4930387","4947148","4970097","4995641","5018321","5034023","5043198","5045691","5043888","5042125","5042141","5038419","5025143","4998649","4971033","4931564","4912087",
"Belize","BLZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57879","59628","61427","63068","64686","67150","70222","73827","77732","81714","85670","89568","93480","97460","101512","105694","110038","114553","119222","124045","129090","134322","139630","145052","151931","157867","163868","167852","172955","177832","177407","184589",
"Bermuda","BMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2913824","2993537","3059982","3141723","3228443","3315761","3402680","3493976","3589803","3688233","3743884","3820117","3898322","3980057","4064628","4151820","4417572","4416875","4570941","4696931","4799179","4902372","4776939","4929363","5186538","4978794","5103906","5306478","5663066","5684739","5705374","5664325",
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62129128","63620326","65276713","66978150","68722272","70502975","70221614","72951026","74794612","77242076","79347240","81451850","84252466","85732528","88065752","90599384","91731713","92730996","93935309","95703671","95367503","94948392","97188188","98532618","99628943","101299234","102278732","104079619","105437486","107415119","100641931","105434083",
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132198","131957","131733","133917","136015","137944","136149","138366","138898","139642","142025","144594","143335","145813","147648","148408","145822","146641","147080","147741","148400","149131","146825","148815","143390","144417","148685","147106","146039","143823","140212","141327",
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109916","113338","116591","119729","123167","126936","131083","135638","140561","145756","151139","156664","161368","166039","170625","175084","179379","183516","187518","191393","195182","198598","200259","201720","203072","204352","205465","206363","218003","217445","218013","221395",
